"file","title","group","type","size_mb","url"
"iadv_rt_continent_summary.html","Rt Continent Summary","表格","Reactable",0.56,"https://2711944586.github.io/R/交互组件/iadv_rt_continent_summary.html"
"iadv_rt_finprot.html","Rt Finprot","表格","Reactable",0.57,"https://2711944586.github.io/R/交互组件/iadv_rt_finprot.html"
"iadv_rt_growth_champions.html","Rt Growth Champions","表格","Reactable",0.58,"https://2711944586.github.io/R/交互组件/iadv_rt_growth_champions.html"
"iadv_rt_income_summary.html","Rt Income Summary","表格","Reactable",0.56,"https://2711944586.github.io/R/交互组件/iadv_rt_income_summary.html"
"iadv_rt_oop_extremes.html","Rt Oop Extremes","表格","Reactable",0.56,"https://2711944586.github.io/R/交互组件/iadv_rt_oop_extremes.html"
"iadv_rt_shock_response.html","Rt Shock Response","表格","Reactable",0.58,"https://2711944586.github.io/R/交互组件/iadv_rt_shock_response.html"
"iadv_rt_top_che_pc.html","Rt Top CHE Pc","表格","Reactable",0.58,"https://2711944586.github.io/R/交互组件/iadv_rt_top_che_pc.html"
"08_heatmap_oops.html","Heatmap OOPS","地图","Leaflet",4.83,"https://2711944586.github.io/R/交互组件/08_heatmap_oops.html"
"iadv_heatmap_year_inc.html","Heatmap Year Inc","地图","Leaflet",4.81,"https://2711944586.github.io/R/交互组件/iadv_heatmap_year_inc.html"
"13_leaflet_choropleth.html","Leaflet Choropleth","地图","Leaflet",2.28,"https://2711944586.github.io/R/交互组件/13_leaflet_choropleth.html"
"13_oops_heatmap.html","OOPS Heatmap","地图","Leaflet",4.83,"https://2711944586.github.io/R/交互组件/13_oops_heatmap.html"
"iadv_treemap_che.html","Treemap CHE","地图","Leaflet",4.81,"https://2711944586.github.io/R/交互组件/iadv_treemap_che.html"
"11_world_leaflet.html","World Leaflet","地图","Leaflet",0.96,"https://2711944586.github.io/R/交互组件/11_world_leaflet.html"
"43_yoy_heatmap.html","Yoy Heatmap","地图","Leaflet",4.83,"https://2711944586.github.io/R/交互组件/43_yoy_heatmap.html"
"60_yoy_heatmap.html","Yoy Heatmap","地图","Leaflet",4.83,"https://2711944586.github.io/R/交互组件/60_yoy_heatmap.html"
"iadv_box_continent.html","Box Continent","分布","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_box_continent.html"
"iadv_density_che.html","Density CHE","分布","Plotly",4.92,"https://2711944586.github.io/R/交互组件/iadv_density_che.html"
"iadv_density2d.html","Density2d","分布","Plotly",4.82,"https://2711944586.github.io/R/交互组件/iadv_density2d.html"
"iadv_hist_oop.html","Hist Oop","分布","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_hist_oop.html"
"13_income_violin.html","Income Violin","分布","Plotly",4.81,"https://2711944586.github.io/R/交互组件/13_income_violin.html"
"iadv_parcoords.html","Parcoords","分布","Plotly",4.84,"https://2711944586.github.io/R/交互组件/iadv_parcoords.html"
"iadv_polar_bar.html","Polar Bar","分布","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_polar_bar.html"
"iadv_polar_radar.html","Polar Radar","分布","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_polar_radar.html"
"13_splom.html","Splom","分布","Plotly",4.85,"https://2711944586.github.io/R/交互组件/13_splom.html"
"iadv_violin_inc.html","Violin Inc","分布","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_violin_inc.html"
"iadv_violin_small_multi.html","Violin Small Multi","分布","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_violin_small_multi.html"
"iadv_ec_sunburst.html","Ec Sunburst","结构","HTML",4.83,"https://2711944586.github.io/R/交互组件/iadv_ec_sunburst.html"
"iadv_hc_packed.html","HC Packed","结构","HTML",4.81,"https://2711944586.github.io/R/交互组件/iadv_hc_packed.html"
"iadv_hc_wheel.html","HC Wheel","结构","HTML",0.35,"https://2711944586.github.io/R/交互组件/iadv_hc_wheel.html"
"iadv_icicle.html","Icicle","结构","HTML",4.81,"https://2711944586.github.io/R/交互组件/iadv_icicle.html"
"iadv_sunburst_che.html","Sunburst CHE","结构","HTML",4.83,"https://2711944586.github.io/R/交互组件/iadv_sunburst_che.html"
"iadv_donut_finance.html","Donut Finance","结构","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_donut_finance.html"
"iadv_funnel_sources.html","Funnel Sources","结构","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_funnel_sources.html"
"iadv_ec_calendar.html","Ec Calendar","矩阵","HTML",4.81,"https://2711944586.github.io/R/交互组件/iadv_ec_calendar.html"
"iadv_bubble_matrix.html","Bubble Matrix","矩阵","Plotly",4.84,"https://2711944586.github.io/R/交互组件/iadv_bubble_matrix.html"
"31_corr_matrix.html","Corr Matrix","矩阵","Plotly",4.81,"https://2711944586.github.io/R/交互组件/31_corr_matrix.html"
"48_corr_matrix.html","Corr Matrix","矩阵","Plotly",4.81,"https://2711944586.github.io/R/交互组件/48_corr_matrix.html"
"32_corr_overtime.html","Corr Overtime","矩阵","Plotly",4.81,"https://2711944586.github.io/R/交互组件/32_corr_overtime.html"
"49_corr_overtime.html","Corr Overtime","矩阵","Plotly",4.81,"https://2711944586.github.io/R/交互组件/49_corr_overtime.html"
"iadv_ec_river.html","Ec River","时间","HTML",4.82,"https://2711944586.github.io/R/交互组件/iadv_ec_river.html"
"iadv_hc_country_lines.html","HC Country Lines","时间","HTML",4.82,"https://2711944586.github.io/R/交互组件/iadv_hc_country_lines.html"
"iadv_hc_stream.html","HC Stream","时间","HTML",4.82,"https://2711944586.github.io/R/交互组件/iadv_hc_stream.html"
"iadv_area_shock_bands.html","Area Shock Bands","时间","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_area_shock_bands.html"
"iadv_area_smooth_che.html","Area Smooth CHE","时间","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_area_smooth_che.html"
"04_bar_race.html","Bar Race","时间","Plotly",4.85,"https://2711944586.github.io/R/交互组件/04_bar_race.html"
"iadv_bar_race.html","Bar Race","时间","Plotly",4.82,"https://2711944586.github.io/R/交互组件/iadv_bar_race.html"
"iadv_che_pc_lines.html","CHE Pc Lines","时间","Plotly",4.82,"https://2711944586.github.io/R/交互组件/iadv_che_pc_lines.html"
"10_china_wb_line.html","China Wb Line","时间","Plotly",4.81,"https://2711944586.github.io/R/交互组件/10_china_wb_line.html"
"06_forecast_subplot.html","Forecast Subplot","时间","Plotly",4.82,"https://2711944586.github.io/R/交互组件/06_forecast_subplot.html"
"iadv_hf_share_area.html","HF Share Area","时间","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_hf_share_area.html"
"13_highlight_lines.html","Highlight Lines","时间","Plotly",4.83,"https://2711944586.github.io/R/交互组件/13_highlight_lines.html"
"iadv_oop_lines.html","Oop Lines","时间","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_oop_lines.html"
"iadv_small_multi_trend.html","Small Multi Trend","时间","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_small_multi_trend.html"
"13_country_network.html","Country Network","网络","Network",0.35,"https://2711944586.github.io/R/交互组件/13_country_network.html"
"iadv_diagonal_tree.html","Diagonal Tree","网络","Network",0.34,"https://2711944586.github.io/R/交互组件/iadv_diagonal_tree.html"
"iadv_force_country_sim.html","Force Country Sim","网络","Network",0.35,"https://2711944586.github.io/R/交互组件/iadv_force_country_sim.html"
"iadv_sankey_3stage.html","Sankey 3stage","网络","Network",0.35,"https://2711944586.github.io/R/交互组件/iadv_sankey_3stage.html"
"iadv_sankey_continent_oop.html","Sankey Continent Oop","网络","Network",0.35,"https://2711944586.github.io/R/交互组件/iadv_sankey_continent_oop.html"
"13_sankey_flows.html","Sankey Flows","网络","Network",0.35,"https://2711944586.github.io/R/交互组件/13_sankey_flows.html"
"09_sankey_sources.html","Sankey Sources","网络","Network",4.81,"https://2711944586.github.io/R/交互组件/09_sankey_sources.html"
"iadv_ec_graph.html","Ec Graph","专题","HTML",0.35,"https://2711944586.github.io/R/交互组件/iadv_ec_graph.html"
"iadv_ec_liquid.html","Ec Liquid","专题","HTML",4.81,"https://2711944586.github.io/R/交互组件/iadv_ec_liquid.html"
"iadv_gauge_grid.html","Gauge Grid","专题","HTML",4.81,"https://2711944586.github.io/R/交互组件/iadv_gauge_grid.html"
"iadv_hc_item.html","HC Item","专题","HTML",4.81,"https://2711944586.github.io/R/交互组件/iadv_hc_item.html"
"iadv_bar_ci.html","Bar Ci","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_bar_ci.html"
"26_che_cagr_bar.html","CHE Cagr Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/26_che_cagr_bar.html"
"43_che_cagr_bar.html","CHE Cagr Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/43_che_cagr_bar.html"
"27_che_gdp_world.html","CHE GDP World","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/27_che_gdp_world.html"
"44_che_gdp_world.html","CHE GDP World","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/44_che_gdp_world.html"
"28_che_life.html","CHE Life","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/28_che_life.html"
"45_che_life.html","CHE Life","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/45_che_life.html"
"iadv_che_total_stacked.html","CHE Total Stacked","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/iadv_che_total_stacked.html"
"29_che_u5.html","CHE U5","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/29_che_u5.html"
"46_che_u5.html","CHE U5","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/46_che_u5.html"
"30_continent_oops.html","Continent OOPS","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/30_continent_oops.html"
"47_continent_oops.html","Continent OOPS","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/47_continent_oops.html"
"iadv_continent_ribbon.html","Continent Ribbon","专题","Plotly",4.83,"https://2711944586.github.io/R/交互组件/iadv_continent_ribbon.html"
"33_country_compare.html","Country Compare","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/33_country_compare.html"
"50_country_compare.html","Country Compare","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/50_country_compare.html"
"iadv_dualaxis_oop_lifeexp.html","Dualaxis Oop Lifeexp","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_dualaxis_oop_lifeexp.html"
"35_ext_top_bar.html","EXT Top Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/35_ext_top_bar.html"
"52_ext_top_bar.html","EXT Top Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/52_ext_top_bar.html"
"01_gapminder_animated.html","Gapminder Animated","专题","Plotly",5.65,"https://2711944586.github.io/R/交互组件/01_gapminder_animated.html"
"13_gapminder_bubble.html","Gapminder Bubble","专题","Plotly",5.76,"https://2711944586.github.io/R/交互组件/13_gapminder_bubble.html"
"36_global_hf.html","Global HF","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/36_global_hf.html"
"53_global_hf.html","Global HF","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/53_global_hf.html"
"iadv_global_weighted_avg.html","Global Weighted Avg","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_global_weighted_avg.html"
"02_highlight_ts.html","Highlight Ts","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/02_highlight_ts.html"
"37_income_che.html","Income CHE","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/37_income_che.html"
"54_income_che.html","Income CHE","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/54_income_che.html"
"07_inequality.html","Inequality","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/07_inequality.html"
"iadv_kpi_indicator.html","Kpi Indicator","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_kpi_indicator.html"
"38_life_top_bar.html","Life Top Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/38_life_top_bar.html"
"55_life_top_bar.html","Life Top Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/55_life_top_bar.html"
"iadv_lifeexp_byinc.html","Lifeexp Byinc","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_lifeexp_byinc.html"
"iadv_lollipop_oop.html","Lollipop Oop","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/iadv_lollipop_oop.html"
"13_mc_fan.html","Mc Fan","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/13_mc_fan.html"
"39_oops_dumbbell.html","OOPS Dumbbell","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/39_oops_dumbbell.html"
"56_oops_dumbbell.html","OOPS Dumbbell","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/56_oops_dumbbell.html"
"40_oops_gdp.html","OOPS GDP","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/40_oops_gdp.html"
"57_oops_gdp.html","OOPS GDP","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/57_oops_gdp.html"
"41_oops_life.html","OOPS Life","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/41_oops_life.html"
"58_oops_life.html","OOPS Life","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/58_oops_life.html"
"iadv_ribbon_quantiles.html","Ribbon Quantiles","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_ribbon_quantiles.html"
"13_scenarios.html","Scenarios","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/13_scenarios.html"
"iadv_subplot_4metric.html","Subplot 4metric","专题","Plotly",4.82,"https://2711944586.github.io/R/交互组件/iadv_subplot_4metric.html"
"05_ternary.html","Ternary","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/05_ternary.html"
"13_ternary.html","Ternary","专题","Plotly",4.84,"https://2711944586.github.io/R/交互组件/13_ternary.html"
"iadv_u5mr_multi.html","U5MR Multi","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_u5mr_multi.html"
"42_u5mr_top_bar.html","U5MR Top Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/42_u5mr_top_bar.html"
"59_u5mr_top_bar.html","U5MR Top Bar","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/59_u5mr_top_bar.html"
"iadv_waterfall_che.html","Waterfall CHE","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_waterfall_che.html"
"iadv_waterfall_continents.html","Waterfall Continents","专题","Plotly",4.81,"https://2711944586.github.io/R/交互组件/iadv_waterfall_continents.html"
